ID,Solution,Feature0
-50,-497490.0,-50
-49,-468185.0,-49
-48,-440054.0,-48
-47,-413073.0,-47
-46,-387218.0,-46
-45,-362465.0,-45
-44,-338790.0,-44
-43,-316169.0,-43
-42,-294578.0,-42
-41,-273993.0,-41
-40,-254390.0,-40
-39,-235745.0,-39
-38,-218034.0,-38
-37,-201233.0,-37
-36,-185318.0,-36
-35,-170265.0,-35
-34,-156050.0,-34
-33,-142649.0,-33
-32,-130038.0,-32
-31,-118193.0,-31
-30,-107090.0,-30
-29,-96705.0,-29
-28,-87014.0,-28
-27,-77993.0,-27
-26,-69618.0,-26
-25,-61865.0,-25
-24,-54710.0,-24
-23,-48129.0,-23
-22,-42098.0,-22
-21,-36593.0,-21
-20,-31590.0,-20
-19,-27065.0,-19
-18,-22994.0,-18
-17,-19353.0,-17
-16,-16118.0,-16
-15,-13265.0,-15
-14,-10770.0,-14
-13,-8609.0,-13
-12,-6758.0,-12
-11,-5193.0,-11
-10,-3890.0,-10
-9,-2825.0,-9
-8,-1974.0,-8
-7,-1313.0,-7
-6,-818.0,-6
-5,-465.0,-5
-4,-230.0,-4
-3,-89.0,-3
-2,-18.0,-2
-1,7.0,-1
0,10.0,0
1,15.0,1
2,46.0,2
3,127.0,3
4,282.0,4
5,535.0,5
6,910.0,6
7,1431.0,7
8,2122.0,8
9,3007.0,9
10,4110.0,10
11,5455.0,11
12,7066.0,12
13,8967.0,13
14,11182.0,14
15,13735.0,15
16,16650.0,16
17,19951.0,17
18,23662.0,18
19,27807.0,19
20,32410.0,20
21,37495.0,21
22,43086.0,22
23,49207.0,23
24,55882.0,24
25,63135.0,25
26,70990.0,26
27,79471.0,27
28,88602.0,28
29,98407.0,29
30,108910.0,30
31,120135.0,31
32,132106.0,32
33,144847.0,33
34,158382.0,34
35,172735.0,35
36,187930.0,36
37,203991.0,37
38,220942.0,38
39,238807.0,39
40,257610.0,40
41,277375.0,41
42,298126.0,42
43,319887.0,43
44,342682.0,44
45,366535.0,45
46,391470.0,46
47,417511.0,47
48,444682.0,48
49,473007.0,49
