ID,Solution,Feature0
0,10,0
1,9,1
2,8,2
3,7,3
4,6,4
5,5,5
6,4,6
7,3,7
8,2,8
9,1,9
10,0,10
11,-1,11
12,-2,12
13,-3,13
14,-4,14
15,-5,15
16,-6,16
17,-7,17
18,-8,18
19,-9,19
20,65,20
21,68,21
22,71,22
23,74,23
24,77,24
25,80,25
26,83,26
27,86,27
28,89,28
29,92,29
30,95,30
31,98,31
32,101,32
33,104,33
34,107,34
35,110,35
36,113,36
37,116,37
38,119,38
39,122,39
40,60,40
41,61,41
42,62,42
43,63,43
44,64,44
45,65,45
46,66,46
47,67,47
48,68,48
49,69,49
50,70,50
51,71,51
52,72,52
53,73,53
54,74,54
55,75,55
56,76,56
57,77,57
58,78,58
59,79,59
