ID,Solution,Feature0
0,0.0,0
1,0.349048128746,1
2,0.69798993405,2
3,1.04671912486,3
4,1.39512947488,4
5,1.74311485495,5
6,2.09056926535,6
7,2.4373868681,7
8,2.7834620192,8
9,3.1286893008,9
10,3.47296355334,10
11,3.81617990753,11
12,4.15823381636,12
13,4.49902108688,13
14,4.83843791199,14
15,5.17638090205,15
16,5.51274711634,16
17,5.84743409445,17
18,6.1803398875,18
19,6.51136308914,19
20,6.84040286651,20
21,7.16735899091,21
22,7.49213186832,22
23,7.81462256979,23
24,8.13473286152,24
25,8.45236523481,25
26,8.76742293578,26
27,9.07980999479,27
28,9.38943125572,28
29,9.69619240493,29
30,10.0,30
31,10.3007614982,31
32,10.5983852847,32
33,10.8927807003,33
34,11.1838580694,34
35,11.471528727,35
36,11.7557050458,36
37,12.036300463,37
38,12.3132295065,38
39,12.586407821,39
40,12.8557521937,40
41,13.1211805798,41
42,13.3826121272,42
43,13.6399672012,43
44,13.8931674092,44
45,14.1421356237,45
46,14.3867960068,46
47,14.6270740324,47
48,14.8628965095,48
49,15.0941916045,49
50,15.3208888624,50
51,15.5429192291,51
52,15.7602150721,52
53,15.9727102009,53
54,16.1803398875,54
55,16.3830408858,55
56,16.5807514511,56
57,16.7734113589,57
58,16.9609619231,58
59,17.143346014,59
60,17.3205080757,60
61,17.4923941428,61
62,17.6589518572,62
63,17.8201304838,63
64,17.975880926,64
65,18.1261557407,65
66,18.2709091529,66
67,18.410097069,67
68,18.5436770913,68
69,18.6716085299,69
70,18.7938524157,70
71,18.910371512,71
72,19.0211303259,72
73,19.1260951193,73
74,19.2252339188,74
75,19.3185165258,75
76,19.4059145255,76
77,19.4874012957,77
78,19.5629520147,78
79,19.632543669,79
80,19.6961550602,80
81,19.7537668119,81
82,19.8053613748,82
83,19.8509230328,83
84,19.8904379074,84
85,19.9238939618,85
86,19.9512810052,86
87,19.9725906951,87
88,19.9878165404,88
89,19.9969539031,89
90,20.0,90
91,19.9969539031,91
92,19.9878165404,92
93,19.9725906951,93
94,19.9512810052,94
95,19.9238939618,95
96,19.8904379074,96
97,19.8509230328,97
98,19.8053613748,98
99,19.7537668119,99
100,19.6961550602,100
101,19.632543669,101
102,19.5629520147,102
103,19.4874012957,103
104,19.4059145255,104
105,19.3185165258,105
106,19.2252339188,106
